"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","individualID","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks","measuredBy","recordedBy","dataQF"
"4bd45002-acb0-4f84-a7f5-93dd7fee1f4a","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","23",NA,"23",10.2,58.8,"N","NEON.PLA.D16.WREF.03679",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"0624634d-6d40-432a-b494-48148ad4cc3d","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","23",NA,"23",4.1,14,"N","NEON.PLA.D16.WREF.03675",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"843867db-55db-4d10-9418-93d46648a95c","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","23","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.03683",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"9f908f82-8678-4082-9795-d66ac33528f8","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","39",NA,"41",16.1,337.7,"N","NEON.PLA.D16.WREF.03222",NA,NA,"NEON.DOC.000987vG","THPL","Thuja plicata Donn ex D. Don","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"41d2f907-6b21-446c-8225-58af447f1fbf","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","23",NA,"25",13.8,271.1,"N","NEON.PLA.D16.WREF.03678",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"d5d1a602-ce33-4564-8f7d-70b224366f8d","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.03263",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"7e84e3ba-0488-445c-a37f-8b70ec20fdd8","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.05528",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","XF7+6w3ZdG4dkrdZbAxOAZtdZV1tlY7Km4jqFmsFyAs=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA
"a11beece-ea4c-4987-a5b9-27d4b4bd649c","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.05532",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","XF7+6w3ZdG4dkrdZbAxOAZtdZV1tlY7Km4jqFmsFyAs=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA
"9b0218e4-75a2-4358-8cec-534471cde7a4","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","21","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04041",NA,NA,"NEON.DOC.000987vG","PIMO3","Pinus monticola Douglas ex D. Don","species",NA,"",NA,"","","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"ce8d501a-59eb-46a1-abca-7ddf8a81d686","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","21","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.04050",NA,NA,"NEON.DOC.000987vG","TABR2","Taxus brevifolia Nutt.","species",NA,"",NA,"","","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
